org,role,view,activity,context,theft,accident,max speed,bad places,auto pilot,delay,max km,respect road signs,weather,proba,decision
TL YQN,e YEX,WZQ,YJ65,NQPZ,improbable,probable,yes,yes,always,no,yes,no,stormy,0.45,permitted
GC ZRS,m BWS,DJR,UP22,DFLP,improbable,improbable,no,yes,sometimes,no,yes,yes,cloudy,0.88,permitted
PA OQE,p QEG,HTR,OL63,WQIO,probable,probable,yes,no,sometimes,yes,yes,no,cloudy,0.39,permitted
PX AEN,z QZJ,GCI,SK15,SYHH,improbable,improbable,no,no,always,no,no,no,rainy,0.19,permitted
HB TVS,b ORT,RMJ,JB18,HCKI,improbable,improbable,yes,no,never,yes,yes,no,windy,0.53,permitted
QE GKA,o SAI,XES,HV49,WMQE,probable,probable,no,yes,always,yes,no,no,sunny,0.89,permitted
CL IOP,n HDC,QSQ,ST68,DLUC,improbable,probable,yes,yes,always,no,no,no,windy,0.1,permitted
DT NBS,s LHH,GHS,EP04,VEKI,probable,improbable,yes,no,never,no,yes,yes,sunny,0.05,permitted
caraccess,blacklisted,luxe,a2,peak,improbable,improbable,yes,no,sometimes,yes,no,yes,rainy,0.85,denied
MB FUZ,t BMT,TCN,ZB25,DQPR,improbable,improbable,no,no,sometimes,no,no,yes,stormy,0.91,permitted
XM XBM,h NUF,GJT,JV20,HZIJ,improbable,probable,yes,yes,always,no,no,yes,sunny,0.64,permitted
WX AEQ,n KMS,BLN,SF85,ZTYO,probable,improbable,yes,no,sometimes,yes,no,no,stormy,0.69,permitted
partner,blacklisted,luxe,a3,peak,improbable,improbable,yes,no,always,no,yes,no,stormy,0.47,denied
others,vip,normal,a2,off,probable,probable,no,yes,sometimes,yes,yes,no,cloudy,0.19,denied
UB LJV,h HUR,OBZ,IR38,SBFB,probable,improbable,yes,no,sometimes,yes,no,yes,rainy,0.14,permitted
ZT TNA,w MKU,UNN,AM08,JLWO,probable,probable,no,no,sometimes,yes,yes,no,rainy,0.61,permitted
FD HDS,j CXN,EAV,JH97,DCAD,improbable,probable,yes,no,never,yes,no,no,stormy,0.38,permitted
others,normal,luxe,a2,off,improbable,probable,yes,no,sometimes,no,yes,yes,cloudy,0.07,permitted
SJ EJY,x LQY,RKZ,QQ57,FHST,improbable,improbable,yes,yes,sometimes,yes,yes,no,sunny,0.31,permitted
BH CBR,t YDD,RNP,TE56,LVXD,improbable,probable,yes,yes,sometimes,yes,no,no,windy,0.07,permitted
YE HIZ,t AAB,QTM,JZ10,NGMZ,probable,probable,yes,yes,never,yes,yes,yes,cloudy,0.99,permitted
TV FBR,t QWE,CLK,YV84,HVJQ,probable,improbable,no,no,never,yes,no,yes,sunny,0.86,permitted
YD WAG,c VHJ,HZJ,FW09,PTPO,improbable,probable,yes,no,sometimes,yes,no,yes,windy,0.41,denied
police,blacklisted,normal,a1,peak,probable,probable,no,yes,never,no,yes,no,windy,0.28,denied
MP MYW,t NSM,KXY,AP23,OFVN,probable,probable,no,no,sometimes,yes,no,yes,windy,0.84,permitted
CZ NOA,r YLT,WGV,WW33,SCZE,improbable,improbable,no,no,always,no,yes,no,rainy,0.98,permitted
DT VKC,i GCK,WZR,UK36,QYAQ,improbable,probable,yes,yes,never,yes,yes,no,stormy,0.82,permitted
NF ZGQ,u JOY,SEI,FO63,GEBM,improbable,improbable,yes,yes,always,no,yes,no,rainy,0.75,denied
GV EKH,p LFK,NEZ,XA39,TZHS,probable,improbable,no,no,always,no,no,yes,sunny,0.25,permitted
IU VWD,a YCO,LVU,LJ83,KPJB,improbable,improbable,no,yes,sometimes,yes,no,no,sunny,0.34,permitted
RQ EEV,d WXX,CFL,DU24,CIAA,improbable,probable,yes,yes,never,yes,no,yes,rainy,0.96,permitted
partner,vip,normal,a1,peak,probable,probable,no,yes,never,yes,yes,no,windy,0.89,permitted
VZ POO,z BTL,WPV,NJ41,LCEH,probable,improbable,no,yes,always,no,no,no,rainy,0.27,permitted
IP WVW,j FQA,IRE,TV47,DLBA,probable,probable,no,no,always,no,no,no,stormy,0.79,permitted
FV JEE,v OZZ,RAT,TI47,IAUV,improbable,probable,no,no,sometimes,no,yes,yes,cloudy,0.58,permitted
QL ZHV,b QRF,XCL,AN11,NFVH,improbable,improbable,no,yes,sometimes,no,yes,yes,rainy,0.95,permitted
TJ PLX,y XTH,BZT,JZ56,VJNP,improbable,probable,yes,no,never,yes,yes,no,cloudy,0.46,permitted
YL GNA,o HZT,AKA,DG63,OOXV,probable,probable,yes,no,always,no,no,yes,cloudy,0.27,denied
JH ILL,n CJD,SZL,KI82,VSLJ,probable,probable,no,yes,always,no,yes,no,sunny,0.82,permitted
DK TNT,p IRH,SAA,NX38,LKSR,improbable,improbable,no,yes,sometimes,no,no,yes,sunny,0.7,permitted
YZ URX,y RND,ENF,QI95,PSIM,improbable,improbable,yes,no,never,no,yes,yes,cloudy,0.41,permitted
BD OTD,l MGI,EWX,RU18,IUTV,improbable,probable,yes,no,sometimes,yes,no,yes,stormy,0.8,permitted
others,blacklisted,luxe,a3,off,improbable,improbable,no,no,sometimes,no,no,no,cloudy,0.77,denied
KN YAT,r LRZ,ZGU,FS24,RXGY,improbable,probable,no,yes,sometimes,no,yes,yes,rainy,0.69,denied
partner,blacklisted,luxe,a2,off,improbable,probable,no,no,always,yes,yes,no,sunny,0.55,denied
YR TQZ,u RIU,OUZ,XV82,YPDO,improbable,probable,yes,no,never,no,no,no,cloudy,0.22,permitted
KA SNV,n LQA,NMC,SQ51,VDGB,probable,probable,no,no,sometimes,yes,no,yes,rainy,0.57,permitted
WI JIS,j DYL,PIH,LO52,JADD,improbable,improbable,no,no,always,yes,yes,yes,stormy,0.32,denied
QL OTV,l DGL,OPP,JZ48,ADBY,improbable,probable,yes,no,never,no,yes,no,cloudy,0.61,permitted
others,vip,normal,a3,off,probable,probable,no,yes,never,yes,yes,no,windy,0.95,permitted
partner,blacklisted,normal,a3,peak,probable,improbable,yes,no,never,yes,no,yes,windy,0.6,denied
caraccess,normal,luxe,a2,peak,improbable,improbable,no,no,always,no,no,no,rainy,0.75,permitted
JC TLQ,s EHE,XQW,XF43,HWIZ,improbable,improbable,yes,yes,sometimes,yes,yes,no,sunny,0.47,permitted
DP VYT,j SHK,KQE,NX56,BSFD,improbable,probable,no,yes,sometimes,yes,no,yes,sunny,0.31,denied
NU NCC,c GLE,POJ,AL92,MQQS,improbable,improbable,no,yes,always,yes,yes,yes,sunny,0.4,denied
PC AZX,g YKO,HBB,GN16,CFFP,probable,probable,no,yes,always,no,yes,yes,stormy,0.34,permitted
PR RRW,j KRK,YKU,EJ66,OJAV,probable,improbable,yes,no,never,yes,no,no,rainy,0.75,permitted
LY VUP,m FFL,CBE,ZE14,GEUC,improbable,improbable,no,yes,sometimes,yes,yes,yes,windy,0.2,permitted
VG EIQ,v NYT,VQG,CU92,YCYY,probable,improbable,no,yes,always,no,no,yes,stormy,0.62,permitted
JP PHU,u ABC,IIY,GK85,BVMR,improbable,probable,no,no,always,no,yes,yes,cloudy,0.66,denied
BP QYJ,q TGV,FWY,EU73,EWSA,probable,probable,no,no,sometimes,yes,yes,no,stormy,0.78,permitted
YJ GKE,v CSV,OVZ,OY73,CPHE,probable,improbable,yes,no,always,yes,yes,no,stormy,0.9,permitted
caraccess,blacklisted,normal,a3,peak,probable,improbable,yes,yes,never,yes,no,yes,cloudy,0.54,denied
XF JIA,u EXX,MEH,YC70,WNJO,probable,improbable,yes,yes,never,yes,no,yes,sunny,0.61,permitted
others,vip,luxe,a2,off,improbable,probable,yes,no,always,no,yes,no,windy,0.03,permitted
NE JCU,e GNX,KSF,GQ37,OBCV,improbable,improbable,yes,yes,always,yes,yes,yes,rainy,0.16,permitted
FK EQB,s QZB,WIN,JS46,TCHT,improbable,improbable,no,yes,always,yes,no,no,rainy,0.11,permitted
KU FBP,k SWA,KUQ,FI06,ZPEN,improbable,probable,no,yes,sometimes,yes,no,yes,rainy,0.55,permitted
CI NJD,b AKB,GTI,KS80,IOTW,probable,probable,no,no,sometimes,no,yes,yes,windy,0.06,permitted
UK ELG,p SPU,IPS,TA55,QRUF,probable,probable,no,yes,always,yes,yes,no,stormy,0.25,permitted
ZG ZOS,n MFE,BAK,LW47,YUCI,probable,improbable,yes,yes,never,yes,yes,yes,rainy,0.55,permitted
WC PPV,u JZS,JWJ,VR94,OMDE,probable,improbable,yes,yes,always,yes,no,no,cloudy,0.07,permitted
CC SBD,f GNE,FJT,WQ92,EVKJ,improbable,probable,yes,no,sometimes,yes,yes,yes,windy,0.65,permitted
GW FCO,e DXL,SJS,DK11,IAPP,improbable,probable,no,yes,never,no,no,yes,windy,0.9,permitted
NM DVW,a BNZ,LJW,VM10,TPTT,probable,probable,no,no,always,no,yes,yes,windy,0.77,permitted
UN BMU,u NQU,CKE,SC42,FJCX,improbable,improbable,no,no,sometimes,no,yes,no,stormy,0.83,permitted
YA DQH,n HOH,QAP,UQ14,XVHU,probable,probable,no,yes,always,yes,no,no,windy,0.87,permitted
UG LTF,a YAB,VIY,CX06,AYKY,probable,probable,yes,yes,always,no,yes,yes,windy,0.44,permitted
caraccess,vip,luxe,a1,peak,improbable,improbable,yes,no,always,yes,yes,no,windy,0.7,denied
BS PCL,i COH,PKC,SH64,RGGD,improbable,probable,no,yes,never,yes,yes,yes,rainy,0.14,permitted
IL LNL,r IBX,OKM,AL97,MIJK,improbable,probable,yes,yes,always,yes,yes,no,sunny,0.68,permitted
caraccess,blacklisted,luxe,a3,off,improbable,improbable,yes,yes,always,yes,no,no,sunny,0.21,denied
KV VKJ,h FRQ,RPW,DF77,CWHP,improbable,improbable,no,no,never,yes,yes,no,rainy,0.06,permitted
caraccess,vip,normal,a3,peak,probable,probable,no,yes,never,no,yes,no,sunny,0.09,permitted
OE AKV,h HEM,NBF,ZD29,LNLP,improbable,improbable,yes,yes,sometimes,no,no,yes,rainy,0.33,permitted
XQ TIY,p SMW,ZPQ,ZG15,PVNE,improbable,improbable,no,no,never,no,no,no,rainy,0.42,denied
RB SUY,z MXV,HGN,BL45,GRUM,probable,improbable,no,yes,always,no,yes,yes,stormy,0.36,permitted
XL DCU,y VWF,JMI,QQ33,VZWF,improbable,improbable,yes,no,never,no,yes,yes,stormy,0.35,denied
caraccess,normal,luxe,a2,off,improbable,improbable,yes,no,always,no,yes,no,rainy,0.46,permitted
YK LVQ,k TLS,NXL,DY18,PIKG,probable,improbable,yes,no,never,no,yes,yes,windy,0.48,permitted
PZ REQ,t RVN,QUT,SN15,DVYT,improbable,probable,no,yes,sometimes,no,no,no,sunny,0.56,permitted
LV UCI,c YIQ,GIB,YP48,YPTC,improbable,probable,yes,yes,sometimes,yes,no,yes,windy,0.34,permitted
YB DNE,d BMB,BMD,OV83,QNCO,improbable,probable,no,no,always,yes,yes,no,windy,0.02,permitted
QQ UKZ,i SHJ,FGA,AM31,DFBN,improbable,probable,no,no,always,no,yes,no,sunny,0.7,permitted
GO NRT,g EIZ,IGJ,MO09,XNDT,improbable,improbable,yes,yes,always,no,no,yes,windy,0.29,permitted
GK GGK,d UGL,QAT,QQ06,SKYH,improbable,probable,yes,no,always,no,no,yes,stormy,0.85,permitted
others,vip,luxe,a3,peak,improbable,improbable,yes,no,always,no,yes,no,sunny,0.93,permitted
GJ NHS,u CAG,ILM,FC61,JRNJ,probable,probable,no,no,never,no,yes,no,stormy,0.73,permitted
IJ UIX,a DWZ,PCB,RI88,NZCS,probable,probable,yes,no,never,yes,yes,no,cloudy,0.88,denied
HS YBR,u LFP,UPG,HZ18,PBIE,probable,probable,yes,yes,always,yes,yes,yes,rainy,0.28,permitted
YV LKM,q KQW,VQH,LK24,BVIA,improbable,probable,no,no,always,no,no,no,sunny,1.0,permitted
partner,blacklisted,luxe,a1,peak,improbable,improbable,yes,no,always,no,yes,yes,sunny,0.86,denied
JS LFO,o FUN,KSY,PK70,CMWW,probable,improbable,yes,no,always,yes,no,yes,rainy,0.37,permitted
ZO VML,u VUL,QIZ,NY48,QUNJ,probable,probable,yes,no,always,yes,no,yes,stormy,1.0,permitted
PI FYR,g VOG,SUJ,XR34,KJOY,improbable,probable,yes,no,sometimes,no,no,no,windy,0.35,permitted
RJ ZOB,w XGE,RZR,WJ08,CHBY,improbable,improbable,no,yes,always,yes,no,no,sunny,0.51,permitted
UK YDG,s VHF,UHS,XQ00,ROYR,improbable,improbable,yes,yes,sometimes,yes,no,yes,rainy,0.09,permitted
RU OGM,c CAK,RSB,DI67,BYZA,improbable,probable,yes,no,never,yes,no,no,rainy,0.78,permitted
police,blacklisted,luxe,a3,peak,improbable,improbable,no,no,always,yes,yes,no,windy,0.79,denied
HS NTB,h DUB,GAC,WR12,LQGF,improbable,probable,no,no,sometimes,no,no,no,cloudy,0.13,permitted
PO VMA,j ICK,PSQ,MW18,PBRP,improbable,improbable,no,no,always,no,yes,yes,stormy,0.38,denied
ZO YYY,g HAU,KRX,CF77,YHYI,improbable,probable,no,yes,always,no,yes,yes,stormy,0.87,permitted
police,normal,luxe,a2,peak,improbable,improbable,yes,yes,always,no,no,no,windy,0.89,permitted
IL IFL,n FRL,VYV,CX06,CZOO,probable,improbable,no,no,never,no,yes,yes,windy,0.4,permitted
JX XAZ,c SGZ,NPL,EO69,VIHA,probable,probable,yes,no,always,no,yes,yes,cloudy,0.51,permitted
QN OMD,i TIA,ASO,ZE09,ZVHR,improbable,probable,yes,no,never,yes,yes,yes,stormy,0.61,permitted
AO MJQ,r PHR,MIG,RO37,WZUZ,improbable,improbable,no,no,never,yes,no,yes,rainy,0.12,permitted
LX YGI,x JIF,AAH,TY57,FHYR,probable,improbable,yes,no,never,yes,no,no,rainy,0.78,permitted
police,vip,normal,a1,off,probable,improbable,no,yes,sometimes,no,no,yes,cloudy,0.46,permitted
XR ITE,s YIY,EAP,KD85,LGCU,improbable,improbable,no,no,sometimes,no,yes,no,windy,0.14,permitted
SB BXI,j KGQ,CXL,XM70,WQCZ,probable,probable,yes,yes,never,yes,yes,yes,sunny,0.76,permitted
RV USE,f FAB,BMM,JM58,TNHS,improbable,probable,no,no,always,yes,yes,no,rainy,0.28,permitted
SD GUU,v UDB,ACF,IS39,KANS,improbable,improbable,yes,yes,sometimes,yes,no,yes,stormy,0.67,permitted
caraccess,vip,luxe,a3,off,improbable,probable,yes,no,always,yes,yes,no,cloudy,0.68,permitted
CL FEV,j WOP,EBK,SU21,PFHL,improbable,improbable,no,no,never,no,yes,no,rainy,0.99,permitted
JI ELZ,t GQY,NAT,XP87,BHTB,improbable,improbable,yes,yes,sometimes,yes,yes,no,stormy,0.33,permitted
HA FLR,x EKD,HLV,VY47,LMCJ,probable,improbable,no,no,always,no,yes,no,sunny,0.48,permitted
RE RPC,p QLH,ACX,ES72,FJHT,probable,probable,yes,yes,sometimes,yes,no,yes,windy,0.76,permitted
FV XXO,n IJP,APC,TS01,DUPR,probable,probable,no,yes,always,yes,yes,yes,windy,0.34,permitted
IA GFZ,x MUA,GLH,LB08,QDDE,improbable,probable,yes,yes,sometimes,no,no,yes,windy,0.93,denied
CR JXW,w JKJ,IKK,CP05,GPCJ,probable,improbable,no,yes,never,no,yes,yes,cloudy,0.22,denied
US BJW,d IUD,EPX,DE73,BOVV,probable,probable,no,no,sometimes,no,yes,no,windy,0.96,permitted
VW VVJ,f VHD,KOA,VL02,EZDV,improbable,improbable,yes,no,always,yes,no,no,stormy,0.35,permitted
CP NQV,p QNL,FDV,VB03,YZMF,probable,improbable,yes,yes,always,no,yes,yes,stormy,0.34,permitted
TC STJ,v WBO,IHG,UE04,TNVE,improbable,improbable,no,yes,sometimes,yes,yes,yes,rainy,0.7,permitted
KM ENP,i IMQ,BTC,JS84,BPWL,improbable,probable,no,no,never,yes,no,yes,stormy,0.71,denied
DW NST,k UPP,PHI,EM85,IIUZ,probable,improbable,no,yes,always,no,no,yes,windy,0.18,permitted
IR PVN,x AUI,FIN,CM23,GMIJ,improbable,improbable,no,yes,sometimes,no,yes,no,sunny,0.11,denied
BO GXM,o EQP,SYX,EY11,CKHP,improbable,probable,no,no,always,yes,no,yes,windy,0.47,permitted
YJ IZP,a VSL,MEK,CQ01,BCVT,improbable,probable,yes,yes,always,no,no,yes,windy,0.31,permitted
QB BPL,o HGX,UJA,CA74,NZZK,improbable,improbable,no,yes,always,no,no,yes,windy,0.64,denied
PB XMG,b HVS,ZFF,KM34,WTHR,improbable,probable,no,no,sometimes,no,no,no,cloudy,0.77,permitted
SC MMT,b JCY,TGU,NF62,NSUQ,improbable,probable,yes,yes,never,no,no,yes,stormy,0.45,permitted
DO CJV,j AOZ,ASC,LF97,TFBJ,probable,improbable,no,no,always,yes,yes,yes,windy,0.3,permitted
TN YXX,f ZHR,POG,QI41,OIYR,improbable,improbable,no,yes,sometimes,yes,no,no,windy,0.04,permitted
AR FEG,h QHW,MYQ,AD68,FUIX,probable,improbable,no,yes,always,no,yes,yes,rainy,0.46,permitted
YI JUH,t ILD,EJI,PJ68,UQYF,improbable,improbable,yes,no,sometimes,yes,yes,no,windy,0.0,permitted
RB VTE,s SPC,LNJ,PU62,SYHX,improbable,improbable,no,yes,never,no,no,yes,cloudy,0.62,permitted
VX MPM,l HUI,GGE,ZB40,UDNI,probable,probable,yes,no,never,yes,no,yes,sunny,0.65,permitted
SG SCN,l JXH,NAZ,KB75,EKGD,probable,probable,yes,yes,always,yes,yes,yes,rainy,0.91,permitted
MI CUV,o RPS,SPX,UI19,YIWS,probable,improbable,yes,no,always,no,no,no,sunny,0.85,permitted
XT XYD,q MCI,VUT,HY75,HPWD,probable,improbable,no,yes,sometimes,no,yes,yes,rainy,0.95,permitted
EP YYZ,f BCW,GCY,MK83,ULWC,improbable,improbable,no,no,sometimes,yes,no,yes,stormy,0.59,permitted
TX IXF,z TWN,RPD,LK62,ZUCP,improbable,improbable,yes,no,never,yes,yes,yes,sunny,0.52,permitted
QU GPQ,j GKO,ENP,BV90,GLTT,improbable,probable,no,no,never,no,no,no,rainy,0.67,permitted
TN WWX,j POT,YPC,FP19,UXOR,improbable,probable,no,yes,sometimes,no,no,no,sunny,0.43,permitted
FL ELJ,g OUT,KUZ,PD59,FZYP,probable,improbable,no,no,sometimes,no,no,no,windy,0.23,permitted
VD MQB,y HSE,VAX,XZ51,BZJD,probable,probable,no,yes,always,no,no,no,windy,0.34,permitted
HY WZW,v FNL,YKU,DL27,MSAT,improbable,improbable,yes,yes,sometimes,yes,no,no,windy,0.0,permitted
EJ BRS,g DTY,IOA,KN07,RROT,probable,probable,no,no,sometimes,yes,yes,no,sunny,0.79,denied
JT JYO,g URP,FQZ,JC66,CGPC,improbable,probable,no,no,always,no,no,yes,windy,0.17,permitted
GO KBM,p RMG,ZLM,RL16,SGXL,probable,probable,yes,yes,never,no,no,yes,cloudy,0.85,permitted
DS BJF,s BGJ,EKD,MC72,XRCP,improbable,improbable,yes,no,always,yes,no,yes,cloudy,0.68,permitted
TZ ZPK,b MBK,WQV,QT79,EMPP,improbable,improbable,no,no,sometimes,no,no,no,stormy,0.04,permitted
FV MQI,w FMO,JIC,FS89,WZCG,improbable,improbable,yes,yes,never,no,yes,no,cloudy,0.46,permitted
AA XRG,l EWJ,LHC,ZD88,LIQO,probable,improbable,yes,no,always,yes,yes,no,cloudy,0.3,denied
FU KIJ,a JVH,GWK,YO30,LUJR,probable,probable,yes,yes,never,no,yes,no,stormy,0.04,permitted
LU RJT,l PTE,QDY,EX91,BJWF,probable,improbable,yes,no,always,yes,no,no,rainy,0.02,permitted
VE PJE,t JNM,JGJ,KE24,HCST,probable,probable,no,no,always,no,no,no,stormy,0.6,permitted
NF BFX,l WOV,HOV,ZQ72,OSFN,improbable,improbable,no,no,never,yes,yes,yes,stormy,0.44,permitted
police,blacklisted,normal,a3,off,probable,probable,no,no,never,yes,no,yes,sunny,1.0,denied
partner,blacklisted,luxe,a1,off,improbable,improbable,yes,no,always,no,yes,yes,sunny,0.5,denied
KP UHB,j GRZ,JJZ,WU66,SZHI,improbable,probable,no,yes,always,yes,no,no,rainy,0.01,permitted
MA KEC,f SKW,TTZ,CZ38,MYIW,improbable,improbable,yes,no,sometimes,yes,no,yes,windy,0.64,permitted
TM ETK,e XFR,OQA,ZZ66,DTQE,improbable,probable,yes,no,always,yes,no,no,sunny,0.32,permitted
ZF RVK,c ZAH,KTA,GW22,VXBI,probable,probable,yes,yes,never,no,yes,yes,sunny,0.91,permitted
SX YHW,w PFH,WSN,EY61,SCJN,improbable,probable,no,no,sometimes,yes,yes,no,windy,0.73,permitted
others,blacklisted,luxe,a3,peak,improbable,probable,yes,no,always,no,yes,yes,rainy,0.35,denied
NT SQF,p NXI,GTN,QO27,JSMH,probable,probable,no,yes,never,yes,yes,yes,rainy,0.02,permitted
SJ HSC,m ALP,LFP,RC86,GUCC,improbable,improbable,yes,no,sometimes,no,yes,yes,stormy,1.0,permitted
TI DJT,c FDD,XDO,NL86,VEJW,improbable,improbable,no,yes,sometimes,no,yes,no,rainy,0.82,denied
FU MQN,h QCH,VAE,NR95,VITA,probable,probable,yes,no,always,no,no,yes,stormy,0.18,permitted
police,vip,luxe,a3,off,improbable,probable,yes,no,always,yes,yes,yes,rainy,0.5,permitted
PW LRH,h LNK,HEY,EY24,UHRN,improbable,probable,yes,yes,sometimes,yes,yes,no,cloudy,0.4,permitted
TP UDE,b PSM,ROR,LA38,UTZM,improbable,improbable,no,no,sometimes,yes,yes,no,cloudy,0.42,permitted
ML RAG,x YJV,MDI,PK34,QGYK,probable,probable,yes,no,never,yes,yes,yes,stormy,0.25,permitted
LM WHJ,r ITJ,MTO,ST25,HWZZ,improbable,probable,no,no,never,no,yes,yes,sunny,0.55,permitted
partner,blacklisted,luxe,a3,off,improbable,improbable,yes,no,always,no,yes,no,cloudy,0.33,denied
RF OFX,p HEG,NOY,AO29,XMPD,probable,improbable,yes,no,always,yes,yes,yes,cloudy,0.77,permitted
FZ ZOV,s MTN,IVS,MJ63,UYRJ,probable,improbable,no,yes,never,no,yes,no,sunny,0.61,permitted
others,normal,normal,a3,off,probable,probable,no,yes,never,yes,no,no,stormy,0.32,permitted
TW QNW,w HXE,DLX,VC25,ZCBW,probable,probable,no,yes,always,yes,no,no,cloudy,0.78,permitted
MW EVG,j OWZ,SXS,UK73,ABEY,improbable,improbable,yes,yes,never,yes,no,no,stormy,0.94,permitted
HE GKM,j BVE,KKW,FO11,QEKZ,improbable,improbable,no,yes,never,yes,yes,yes,windy,0.43,denied
EV NYF,d AUN,TML,ID47,JZPC,probable,improbable,no,yes,always,no,no,yes,windy,0.03,denied
OZ IGM,g PYN,AWV,KO02,GZTO,probable,probable,no,yes,sometimes,yes,yes,no,sunny,0.6,permitted
FA MIV,n MKY,ERJ,SK94,SRCL,improbable,probable,no,yes,always,no,no,no,sunny,0.51,permitted
others,normal,luxe,a1,off,improbable,improbable,yes,no,always,yes,yes,yes,sunny,0.34,permitted
MJ MMJ,g IAJ,TSY,BG14,WIAY,improbable,probable,no,no,sometimes,no,no,yes,sunny,0.35,permitted
police,vip,luxe,a2,peak,improbable,improbable,yes,no,always,yes,yes,no,cloudy,0.44,permitted
SU GKB,x MCW,YMJ,CN05,HLDK,improbable,improbable,no,yes,always,yes,yes,yes,windy,0.1,permitted
FW AKD,j QKH,VOG,MV77,DSBD,improbable,improbable,yes,yes,never,yes,no,yes,stormy,0.17,permitted
TO CAL,s VCJ,NQB,PR86,LVJM,probable,probable,no,yes,sometimes,yes,no,yes,sunny,0.63,permitted
partner,blacklisted,normal,a3,off,probable,probable,no,yes,never,no,no,no,stormy,0.33,denied
IS CAM,o ERQ,CFZ,AX61,CHJG,improbable,improbable,no,yes,always,no,no,no,cloudy,0.26,permitted
WP JVQ,l XSF,GNS,ZI92,CLIE,improbable,probable,no,no,always,no,yes,yes,stormy,0.48,permitted
IP HVU,w JOR,NLH,SX23,PZJH,probable,improbable,no,yes,always,no,no,no,windy,0.78,permitted
VB UMM,g ORS,YWJ,TN35,LKMJ,probable,improbable,yes,yes,sometimes,yes,no,no,rainy,0.42,permitted
partner,vip,normal,a3,off,probable,probable,no,yes,sometimes,no,no,no,stormy,0.98,permitted
VJ LQA,x ACI,QIX,CC64,MRLO,probable,probable,no,yes,sometimes,yes,no,no,cloudy,0.41,permitted
NA GSM,s ILA,HGD,MT93,VIIP,improbable,probable,yes,no,sometimes,yes,no,no,rainy,0.17,permitted
IN WZF,i BPX,AQE,LU37,LKNB,probable,improbable,no,no,sometimes,yes,yes,yes,sunny,0.55,permitted
QF FZD,l NTV,ASD,OW32,FYOS,probable,improbable,yes,no,never,yes,no,no,cloudy,0.25,permitted
EL UJP,o TIQ,GAL,HS88,PKQP,improbable,probable,yes,yes,always,no,yes,yes,windy,0.55,permitted
ST CJQ,x LAM,EYW,PY31,LXRJ,improbable,improbable,no,yes,never,no,no,yes,sunny,0.09,permitted
HD ONZ,j TVA,ZJI,SL59,DYDZ,improbable,improbable,yes,no,sometimes,yes,yes,yes,stormy,0.83,permitted
BS UEB,v OWU,RVC,UJ48,FCHK,probable,improbable,yes,no,always,no,yes,yes,sunny,0.75,denied
caraccess,blacklisted,normal,a1,off,probable,probable,no,yes,always,no,yes,no,stormy,0.87,denied
GM XHU,i ZVY,LQE,CT73,OAQB,probable,probable,no,no,sometimes,yes,yes,no,rainy,0.79,permitted
PV LKS,a GPM,PUC,MJ17,PBFL,improbable,probable,yes,yes,sometimes,no,yes,yes,sunny,0.16,permitted
RU AMZ,e QZW,SBP,JB33,CQEY,probable,improbable,yes,no,sometimes,yes,yes,yes,rainy,0.81,denied
NM CHJ,r VNK,YJL,EP39,KXAU,improbable,probable,yes,yes,never,yes,no,yes,windy,0.95,permitted
WB LTC,v DFV,OYA,IB45,DGSC,probable,probable,yes,no,sometimes,yes,no,no,stormy,0.46,permitted
DF QLJ,z SCF,ITP,OD72,CBOU,improbable,improbable,no,yes,sometimes,no,yes,yes,sunny,0.27,permitted
BX IWG,h EJK,RDX,RG92,CEDI,probable,improbable,no,yes,always,no,yes,no,sunny,0.28,permitted
NV MXU,e LFA,NHB,WS92,UOER,probable,probable,no,yes,sometimes,no,yes,no,cloudy,0.09,permitted
NR LQP,r IPG,MVM,SX27,ZKIY,probable,improbable,no,no,never,no,yes,no,cloudy,0.3,permitted
BN ULO,e WTQ,LWG,WJ36,BJQM,improbable,improbable,no,no,never,no,yes,no,cloudy,0.7,permitted
police,vip,luxe,a1,off,improbable,improbable,yes,no,always,no,no,yes,sunny,0.75,permitted
AR ROR,i YFS,ZEH,OU46,BTYA,probable,improbable,no,no,always,yes,yes,yes,cloudy,0.68,permitted
police,blacklisted,normal,a1,off,probable,probable,no,yes,sometimes,no,no,no,cloudy,0.73,denied
NR LSN,h SON,WWS,RP85,YERR,probable,probable,no,yes,sometimes,yes,yes,no,stormy,0.65,permitted
IQ VHO,p MCR,LQC,MF61,UIQN,improbable,improbable,no,yes,sometimes,yes,no,yes,windy,0.16,permitted
MQ NAA,r VPT,EHX,SU84,BCFB,probable,improbable,no,yes,sometimes,yes,yes,yes,rainy,0.15,permitted
AE HCN,e LQQ,VCT,KW30,VPMK,improbable,probable,yes,no,always,no,no,yes,cloudy,0.73,permitted
TP WGJ,r UDH,NNV,VT01,SVUN,probable,probable,no,no,sometimes,no,yes,no,cloudy,0.43,permitted
AV AYR,p XYO,QXX,MS25,FNYR,improbable,probable,yes,no,sometimes,yes,no,yes,rainy,0.53,permitted
FK EOX,q MYW,JWY,QS65,EPRF,probable,probable,yes,yes,sometimes,no,yes,no,stormy,0.49,denied
JW LWR,v YGA,JYC,FN37,TMMG,probable,improbable,no,yes,never,no,yes,no,rainy,0.74,denied
CY IIV,y IZS,KBM,WA27,VQEV,probable,improbable,no,yes,never,no,yes,no,cloudy,0.42,permitted
