org,role,view,activity,context,proba,decision
AC QIW,o UYX,PMT,VG54,GDBA,0.18,permitted
ID BSY,n VGG,GJH,ZH31,DRTM,0.76,permitted
OU HIT,h RFI,AER,LI46,CHPN,0.98,denied
SM EUR,c BZK,GPE,CS84,CKIQ,0.13,permitted
others,blacklisted,luxe,a1,off,0.59,denied
WU CYJ,j MJH,JZN,QZ96,GQUP,0.34,permitted
QN GEY,j QFV,PUG,XD64,CZRB,0.28,permitted
RO RLO,j FZW,KVJ,IV95,IFVL,0.54,permitted
PZ WIG,n NLT,DHT,ID43,OQEW,0.41,permitted
caraccess,blacklisted,luxe,a1,peak,0.8,denied
IO ROS,u UWK,MZR,BA75,BSGA,0.29,permitted
HT HMS,y TCN,SNF,NY38,MEDB,0.07,permitted
OT KAQ,b FWD,DMS,LL39,YXKY,0.45,permitted
DF HVN,k JAI,LKX,CC51,XVZI,0.0,permitted
QK KXE,g MTN,XUW,XM71,PUNH,0.98,permitted
IF CTP,y AEZ,SHT,MF15,MEME,0.56,permitted
XS BVB,d URI,ATH,MK87,TVXS,0.67,permitted
BL UKG,o MMB,WBE,SJ66,GVGU,0.28,permitted
RY VHK,k JZP,BHG,DN53,XKKY,0.09,denied
RA YZH,c JKM,AJN,CF67,QTKF,0.55,permitted
PE POY,z BWH,YBL,EW07,VWFW,0.99,permitted
BG RBS,l EXG,PXV,UM85,QCNP,0.64,permitted
KC HYE,s CJE,QRK,TJ26,SEBT,0.75,permitted
police,vip,normal,a1,peak,0.26,permitted
SA VTB,q XWC,EUX,DK84,CXRC,0.2,permitted
OB JNW,z VJV,JDW,BL48,WITJ,0.01,permitted
LI NWU,q KNF,AHN,PQ04,JXMC,0.07,denied
CR NZQ,x JCG,EEE,DQ91,ORDT,0.41,denied
EP KKQ,g QGL,JCN,YP99,WPPS,0.64,permitted
EW PSN,y ZSL,ZGQ,OM81,SIKE,0.78,permitted
IZ TFO,o VKJ,MIQ,HP03,DNXT,0.53,permitted
UZ HLA,l AGJ,ULW,LV17,WHIS,0.68,permitted
WT PVV,c BLI,BVK,SE17,IZWW,0.17,permitted
BU TST,r MZC,PVQ,QB81,RCSF,0.02,permitted
RT DOY,o WJK,URS,YF78,CAJK,0.84,permitted
TU WVD,p EZG,MGQ,ZN76,FOPR,0.88,permitted
UU PND,d YHP,XEU,QF74,SOBY,0.8,permitted
VT YGC,y XEQ,IDP,TW73,SHXB,0.32,permitted
police,vip,normal,a2,peak,0.02,permitted
JT BIL,p IBD,VYH,AZ12,CYNR,0.78,permitted
NK FMY,r YOO,XND,LC11,MWOJ,0.05,permitted
WR OBR,y ENE,PGE,KO50,JODE,0.49,permitted
AU QTJ,f UNJ,VAY,GE94,ABWI,0.41,permitted
JY QTB,l UHM,FWC,BR44,WOOK,0.52,permitted
RO MSI,r GGZ,RXL,RR60,QXVP,0.7,denied
FK YQJ,y HDH,NPI,FA53,KINI,0.71,permitted
VA SVN,w PGW,QII,VR01,HZGB,0.2,permitted
EO FHA,b ANT,TUW,IL20,FMXA,0.78,denied
others,normal,normal,a2,off,0.57,permitted
police,normal,normal,a1,peak,0.17,permitted
LE QWZ,a NIC,WDH,ZD07,RETY,0.06,permitted
BP KVJ,c MSU,OLR,OP45,NEWM,0.62,denied
others,normal,luxe,a1,peak,0.42,denied
HU NDW,q KPP,UON,BD41,BGDE,0.77,permitted
IX PKJ,h AWW,CHI,BZ14,EYYZ,0.86,permitted
caraccess,normal,luxe,a1,peak,0.22,permitted
KY VGH,x PJV,XYH,YR88,DGPN,0.9,permitted
AG KCJ,g MKO,FMX,MC37,CXSV,0.87,permitted
UM MDP,z CVH,RSJ,IW01,IYEF,0.98,permitted
UC NOR,l IRX,VAU,AA57,BIQP,0.16,permitted
IO HQA,i XET,CWG,BJ33,SXSV,0.2,denied
CA CGH,h WZD,AUL,IV03,BJLO,0.36,permitted
YM QAU,r ZFO,VQL,JH60,BOLN,0.01,permitted
others,blacklisted,luxe,a2,peak,0.06,denied
LI FSF,m MSN,CNS,MD69,GUKG,0.33,permitted
partner,normal,normal,a3,off,0.21,denied
DU INW,s NQK,SPR,FZ48,OQJI,0.03,permitted
YS KLF,t SBU,JPB,LL85,ENNW,0.75,denied
caraccess,blacklisted,normal,a3,off,0.87,denied
GK EZF,q YLK,TYI,UF69,EJPZ,0.06,permitted
FW SXS,h FAA,TRP,UH34,UNUM,0.1,permitted
caraccess,vip,luxe,a2,peak,0.6,denied
BA BQS,e ZVY,DMM,PN38,INHD,0.82,permitted
CI IWV,m OBX,UHA,ZH77,EKYE,0.38,permitted
SH IXL,u MWR,QRF,XP19,BFYM,0.46,permitted
YB HTG,a MJI,GUS,TE13,BLFZ,0.19,permitted
GG ITC,v QOG,YJE,MB46,DAML,0.47,permitted
EH KOW,s AXN,DZC,EB88,GWUD,0.62,permitted
police,blacklisted,normal,a2,off,0.17,denied
HS WYN,v AGA,SKL,HT16,DJZO,0.35,permitted
QB HTU,k UFZ,EJY,HS83,MSWT,0.56,permitted
VJ ZEJ,z MUG,PXO,KW79,QWKE,0.13,permitted
ZR YRF,x OKM,KKI,PQ82,LQYO,0.42,permitted
JZ ZRI,e AVT,MAA,UY99,LWWO,0.44,permitted
HZ WAE,h QAP,YOV,AM15,JYXI,0.45,permitted
QS LVR,s DTO,JJX,XP08,PHTS,0.75,permitted
IR LTS,l UQS,HPZ,OM20,IVQG,0.95,permitted
police,normal,normal,a1,off,0.94,permitted
QW THZ,z GAK,ACE,DM06,LPGT,0.76,permitted
BA MTA,o OBB,OFE,YO25,MQLT,0.22,permitted
YZ GXJ,z SCK,VRD,TN62,ZRAB,0.34,permitted
BV MJX,k SLW,FRZ,FW89,EKUC,0.4,permitted
EF FYF,j NIG,WWE,WJ77,AJKP,0.97,permitted
RT QHP,m MWQ,ZAW,OU20,WGGB,0.62,permitted
caraccess,blacklisted,normal,a2,peak,0.23,denied
BJ ERO,k AYC,VKM,MG18,HWKJ,0.95,permitted
EW ZOT,q RQG,PNZ,HU27,IRJH,0.62,permitted
police,normal,luxe,a1,off,0.3,permitted
QO SLY,m VTZ,ZMQ,GC22,PLLW,0.97,permitted
ZL WDN,f PDB,SCT,ZF51,YZCH,0.94,permitted
SK XRZ,j KCN,NEU,UV81,YBFB,0.9,permitted
WP ULS,a UGU,DSP,TA22,XYZX,0.2,permitted
partner,normal,normal,a2,peak,0.94,permitted
NB AYE,d CDJ,SEA,NC06,ZCOF,0.97,permitted
FO VXQ,d WZS,RSU,AC88,XRAV,0.76,permitted
IH OGK,p ZZA,EFJ,DM16,FLNB,0.51,permitted
PZ VUE,a HPF,ZBL,LR10,IEZZ,0.4,permitted
partner,normal,normal,a3,peak,0.93,permitted
TZ NXF,g RVG,QEH,DA13,SDVK,0.59,permitted
BV BXZ,m QIX,XYC,TF48,JYQF,0.15,permitted
